FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
127.455,129.955,2.0,0.42395,52.21446091,0.51448668,1909.030273,412.3000488,653.7672119
129.955,132.455,1.0,0.88286,3.92462009,3.4703256,1909.030273,412.3000488,653.7672119
132.455,134.955,1.0,2.13122,101.5796931,0.66717383,1909.030273,412.3000488,653.7672119
134.955,137.455,1.0,1.96149,47.11291668,1.03922919,1909.030273,412.3000488,653.7672119
137.455,139.955,1.0,1.45044,56.45048257,0.0,1909.030273,412.3000488,653.7672119
139.955,142.455,1.0,1.31053,29.0634752,0.0,1909.030273,412.3000488,653.7672119
142.455,144.955,1.0,1.05454,39.09460643,0.43654298,1909.030273,412.3000488,653.7672119
144.955,147.455,1.0,2.2843,47.59307752,1.49020653,1909.030273,412.3000488,653.7672119
147.455,149.955,1.0,3.23965,71.7617386,0.59135194,1909.030273,412.3000488,653.7672119
149.955,152.455,1.0,1.92231,46.4708869,0.0,1909.030273,412.3000488,653.7672119
152.455,154.955,1.0,2.62105,144.1298075,0.0,1909.030273,412.3000488,653.7672119
154.955,157.455,2.0,2.39214,47.34214183,0.00148868,1909.030273,412.3000488,653.7672119
157.455,159.955,1.0,2.53803,93.06568569,0.0,1909.030273,412.3000488,653.7672119
159.955,162.455,1.0,1.4627,50.35243546,1.13483278,1909.030273,412.3000488,653.7672119
162.455,164.955,1.0,0.79169,20.28962362,0.0,1909.030273,412.3000488,653.7672119
164.955,167.455,1.0,2.6226,75.68162589,0.0,1909.030273,412.3000488,653.7672119
167.455,169.955,1.0,2.67013,103.4412753,1.48818801,1909.030273,412.3000488,653.7672119
169.955,172.455,1.0,3.3094,68.34188785,2.49590174,1909.030273,412.3000488,653.7672119
172.455,174.955,1.0,1.7571,86.93924591,1.46826095,1909.030273,412.3000488,653.7672119
174.955,177.455,1.0,3.13709,104.1566735,0.0,1909.030273,412.3000488,653.7672119
177.455,179.955,1.0,3.49559,66.40197883,0.99640903,1909.030273,412.3000488,653.7672119
179.955,182.455,1.0,4.35612,60.26646169,0.0,1909.030273,412.3000488,653.7672119
182.455,184.955,1.0,3.89801,197.8895011,0.0,1909.030273,412.3000488,653.7672119
184.955,187.455,1.0,3.60686,111.7215991,2.38959884,1909.030273,412.3000488,653.7672119
187.455,189.955,1.0,3.36735,89.63700759,0.0,1909.030273,412.3000488,653.7672119
189.955,192.455,1.0,4.71692,251.9893731,0.43630898,1909.030273,412.3000488,653.7672119
192.455,193.084,1.0,2.32309,61.94142182,0.0,1909.030273,412.3000488,653.7672119
0.0,36.914,0.0,0.0,0.0,0.0,1954.685181,384.528595,649.6762085
36.914,38.133,1.0,1.1592,58.35104475,1.04351082,1954.685181,384.528595,649.6762085
38.133,40.633,1.0,2.9481,103.0614768,1.05574349,1954.685181,384.528595,649.6762085
40.633,43.133,1.0,4.47168,89.01408903,1.73291187,1954.685181,384.528595,649.6762085
43.133,45.633,1.0,3.84888,66.44630635,1.85242419,1954.685181,384.528595,649.6762085
45.633,48.133,1.0,3.76935,136.6942977,2.69603545,1954.685181,384.528595,649.6762085
48.133,50.633,1.0,3.3067,78.69070699,2.88442625,1954.685181,384.528595,649.6762085
50.633,53.133,1.0,2.17417,25.87142877,1.54501946,1954.685181,384.528595,649.6762085
53.133,55.633,1.0,1.12655,16.41784947,0.0,1954.685181,384.528595,649.6762085
55.633,58.133,1.0,1.54314,91.6816619,0.90336739,1954.685181,384.528595,649.6762085
58.133,60.633,1.0,1.47157,28.35969692,1.21368475,1954.685181,384.528595,649.6762085
60.633,63.133,1.0,1.49227,0.0,0.55892838,1954.685181,384.528595,649.6762085
63.133,65.633,1.0,1.36129,8.75657872,0.40976633,1954.685181,384.528595,649.6762085
65.633,68.133,1.0,0.43475,8.79091472,0.0,1954.685181,384.528595,649.6762085
68.133,70.633,1.0,0.427,32.32488107,0.0,1954.685181,384.528595,649.6762085
70.633,73.133,1.0,0.55882,7.56253162,0.74103385,1954.685181,384.528595,649.6762085
73.133,75.633,1.0,0.41091,14.93872061,0.0,1954.685181,384.528595,649.6762085
75.633,78.133,1.0,0.44864,1.26064974,0.0,1954.685181,384.528595,649.6762085
78.133,80.633,1.0,0.2945,42.72575823,0.359899,1954.685181,384.528595,649.6762085
80.633,83.133,1.0,0.62491,16.76935286,0.0,1954.685181,384.528595,649.6762085
83.133,85.633,1.0,1.03138,66.24264613,1.63329336,1954.685181,384.528595,649.6762085
85.633,88.133,1.0,1.32651,73.60993761,0.0,1954.685181,384.528595,649.6762085
88.133,90.633,1.0,0.4126,5.33182364,0.0,1954.685181,384.528595,649.6762085
90.633,93.133,1.0,1.99793,76.30257008,1.00362917,1954.685181,384.528595,649.6762085
93.133,95.633,1.0,0.96435,46.65876143,0.97388655,1954.685181,384.528595,649.6762085
95.633,98.133,1.0,1.4082,35.99140674,1.04344828,1954.685181,384.528595,649.6762085
98.133,100.633,1.0,1.63689,66.88214648,0.329958,1954.685181,384.528595,649.6762085
100.633,103.133,1.0,2.23948,56.28254939,0.14419472,1954.685181,384.528595,649.6762085
103.133,105.633,1.0,1.49336,25.75894398,0.0,1954.685181,384.528595,649.6762085
105.633,108.133,1.0,1.82739,98.4535317,0.43241551,1954.685181,384.528595,649.6762085
108.133,110.633,1.0,0.94193,43.00275105,0.69769583,1954.685181,384.528595,649.6762085
110.633,113.133,1.0,1.17407,47.88367662,0.94617927,1954.685181,384.528595,649.6762085
113.133,115.633,1.0,1.29325,32.03304362,0.0,1954.685181,384.528595,649.6762085
115.633,118.133,1.0,1.7958,59.03260303,0.0,1954.685181,384.528595,649.6762085
118.133,120.633,1.0,2.26686,146.7644356,1.14896524,1954.685181,384.528595,649.6762085
120.633,123.133,1.0,2.3489,80.33207066,1.65139292,1954.685181,384.528595,649.6762085
123.133,125.633,1.0,1.94107,22.59739973,1.11871204,1954.685181,384.528595,649.6762085
125.633,128.133,1.0,3.3081,20.24076016,2.89401027,1954.685181,384.528595,649.6762085
128.133,130.633,1.0,3.0453,30.4280623,0.0,1954.685181,384.528595,649.6762085
130.633,133.133,1.0,3.20209,51.58553827,1.25451243,1954.685181,384.528595,649.6762085
133.133,135.633,1.0,2.23272,42.36555619,0.2368584,1954.685181,384.528595,649.6762085
135.633,138.133,1.0,3.1546,30.30389986,0.7736271,1954.685181,384.528595,649.6762085
138.133,140.633,1.0,2.97157,97.76215889,0.065871,1954.685181,384.528595,649.6762085
140.633,143.133,2.0,2.80658,105.6841273,0.95737171,1954.685181,384.528595,649.6762085
143.133,145.633,1.0,3.39429,87.50886326,1.19967187,1954.685181,384.528595,649.6762085
145.633,148.133,1.0,2.5736,31.91104272,0.55959524,1954.685181,384.528595,649.6762085
148.133,150.633,1.0,2.65125,102.2060693,1.91006301,1954.685181,384.528595,649.6762085
150.633,153.133,1.0,1.12675,25.00079559,0.0,1954.685181,384.528595,649.6762085
153.133,155.633,1.0,1.17469,43.92136921,0.0,1954.685181,384.528595,649.6762085
